,Job_Title,Key_Skills,Location1,Functional_Area_merged,Job_Experience,Job_Salary
12161, Copywriter," Marketing, Editing, Content Strategy, Campaigns, Copy Writing, Proof Reading, PR Management, Project Planning, Time Management, Copywriter, content writer, creative writer, Branding, Writing","Delhi,Delhi NCR","Creative,Design , Creative , User Experience,Publishing",1 - 5,1 - 5
12167, Design Engineer Mechanical," autocad 2d, container, 3d, bom, autodesk inventor, mechanical engineering, detailing, drafting, fabrication, design engineering",Hyderabad,"Engineering Design,Engineering Design , R&D,Construction, Engineering, Cement, Metals",1 - 5,1 - 5
12168," Hiring For Travel Sales Consultant,sal upto 50k Call Swati"," travel sales consultant, international bpo, inbound, sabre, international ticketing, us process, voice process, travel process, galileo, outbound, amadeus, gds, uk process","Delhi NCR,Gurgaon,Noida","Ticketing,Travel,Documentation,Travel , Tours , Ticketing , Airlines,Travel , Hotels , Restaurants , Airlines , Railways",1 - 5,1 - 5
12176, HCL is Hiring for Blended Profile @ Noida Location (US Shifts)," hiring, interviewing, customer service, salary, calling, inbound, csr, communication skills, international call center, voice process, international bpo, non voice, blended process",Delhi NCR,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
12180, Hiring For Internet Advertising part time MCA Approved Company Noida," Internet Advertising, hiring, Staffing, bulk hiring, business development, Job Posting, Part Time, marketing, Sales, recruitment, freelance, Mba Fresher","Delhi NCR,GreaterNoida,Noida","Administration,Facility Management,HR , Recruitment , Administration , IR,Advertising, PR, MR, Event Management",1 - 5,1 - 5
12190," Walk in Interviews For Diploma in E&t,c Freshers"," Electronics, Telecommunication",Pune,"Technical Support,IT Hardware , Technical Support , Telecom Engineering,Telcom, ISP",1 - 5,1 - 5
12193, Tekla Modleller & Detailer - Steel," x - steel, tekla structures, detailing, fabrication drawing, structural design, structural detailing, steel detailing",Pune,"Engineering Design,Engineering Design , R&D,Construction, Engineering, Cement, Metals",1 - 5,1 - 5
12201, Mega Hiring For Graduate Fresher's For Non-voice Process.," bpo, non voice process, back office process, typing, Fresher, kpo, Voice Process, Data Entry, bpo non voice, undergraduate",Chennai,"Other,ITES , BPO , KPO , LPO , Customer Service , Operations,IT-Software, Software Services",1 - 5,1 - 5
12207, Require Developer(java)," java, core java",Chennai,"Other,IT Hardware , Technical Support , Telecom Engineering,Real Estate, Property",1 - 5,1 - 5
12209,US Payroll & US Benefits,"us benefits,us payroll,us hr",Bengaluru,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,BPO , Call Centre , ITES",1 - 5,1 - 5
12215, Relationship Manager - Sales - Hyderabad," insurance, marketing, Entertainment, relationship management, housing, Banking, Media, primary sales, home loans, sales",Hyderabad,"Retail Sales,Sales , Retail , Business Development,Real Estate, Property",1 - 5,1 - 5
12221, Visual Designer," Graphics, Illustrator, Photoshop, Branding, Typography, Visual Design",Bengaluru,"Creative,Design , Creative , User Experience,Education, Teaching, Training",1 - 5,1 - 5
12223, Associate-gst," compliance, gst, auditing",Delhi,"Accounts,Accounts , Finance , Tax , Company Secretary , Audit,Accounting, Finance",1 - 5,1 - 5
12224, Hiring Node.js Developer," javascript, node.js, nosql, react.js, json, jQuery, PHP",Ahmedabad,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
12233," Urgent Hiring for IT Recruiter ,work from Home,only Females"," IT Recruitment, Hiring, Sourcing, Permanent Staffing","Mumbai,Bengaluru,Chennai,Hyderabad,Pune,Ahmedabad,Bhopal,Delhi,Indore","HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
12240, Business Manager," B2B, Hospitality Management, B2C Sales, Residential Sales, Housekeeping Management, Facility Management, Business Management",Hyderabad,"Retail Sales,Sales , Retail , Business Development,Facility Management",1 - 5,1 - 5
12247, Software Engineer-qa," Manual Testing, API Testing, Database Testing, Selenium, Appium, Test Cases, Security Testing, Usability Testing, JMeter, SOAP UI",Noida,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
12256," Hiring Software Developer At Ahmedabad, Regional Manager Gujarat"," php, wordpress, django, python, python developer, jquery, ERP, Ionic Framework, Mobile Development, Software Developer, software programmer",Ahmedabad,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
12260," Sr. Wordpress Developer , Web Developer"," wordpress, web programmer, wordpress developer, web developer, php, woocommerce",Ahmedabad,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
12269, Hiring For Business Development Executive for Gold's Gym Dasarahalli," corporate sales, business development, promotions, counter sales, outbound sales, outbound calling, upselling, cross selling, retail branch banking, retail outlets, sales, sales marketing",Bengaluru,"Retail Sales,Sales , Retail , Business Development,Wellness , Fitness , Sports, Beauty",1 - 5,1 - 5
12285," Fixed day Shifts!ggn, Noida!,graduatefreshers!cust Service! Sal 21K"," BPO, Voice Process, Outbound, Lead Generation, Sales, Customer Service, Night Shift, Fresher, Back Office, backend, non voice, Domestic BPO","Delhi NCR,Gurgaon,Noida","Other,ITES , BPO , KPO , LPO , Customer Service , Operations,Fresher, Trainee, Entry Level",1 - 5,1 - 5
12304, Accountant (female Candidate)," Accounting, Accounts Executive, Gst, TDS Return, Billing, Account Assistant, sr. account","Delhi NCR,Delhi","Accounts,Accounts , Finance , Tax , Company Secretary , Audit,Office Equipment, Automation",1 - 5,1 - 5
12305," Globiva! Hiring For Cars 24, Samsung, Airtel, Ford, Dayshifts! Gurgaon"," bpo, domestic bpo, international bpo, chat process, email process, customer service, dayshifts, Aegis, fresher, voice process, Teleperformance","Delhi NCR,Gurgaon","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
12313, Logistics Executive," import, export, shipment, logistics, purchase, Logistics Operations, Import Logistics","Mumbai,MumbaiSuburbs,NaviMumbai","Logistics,Supply Chain , Logistics , Purchase , Materials,Electricals, Switchgears",1 - 5,1 - 5
12319," IT Support Trainee, Nagarbhavi Banglore"," it support, Cctv Installation, operating systems, technical support executive",Bengaluru,"Admin,Maintenance,Security,Datawarehousing,IT Software - Application Programming , Maintenance,Accounting, Finance",1 - 5,1 - 5
12330," Commie, Dcdp,cdp,sushi Chef ,, Continental &amp; Italian ,, Delhi"," Italian, sous chef, Continental, restaurant, chef, commi, cooking, food, cdp",Delhi NCR,"Food & Beverage,Hotels , Restaurants,Retail, Wholesale",1 - 5,1 - 5
12358," Customer Relationship Manager,credit Risk-banking,financial Domain"," financial services, accounting, financial sector, customer relationship, relationship management, customer relationship manager, chartered accountant, mis, back office operations, branch banking, private banking, b.tech, fresher, customer experience","Delhi NCR,GreaterNoida,Meerut","Accounts,Accounts , Finance , Tax , Company Secretary , Audit,Accounting, Finance",1 - 5,1 - 5
12366,WNS is Hiring for Back Office Process.( Meet HR Preksha),"Back Office,Backend,Email,webchat,customer,international,Inbound,Outbound,Night Shift,Email Process,Cold Calling,Blended Process,chat,sales",Mumbai,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO , Call Centre , ITES",1 - 5,1 - 5
12377," On the spot Offer Letter 4 Amex,ibm,fareportal,metlife"," international bpo, sitel, vertex, inbound, wipro, customer care, teleperformance, call center, dell, hcl, fresher, amex, ibm, customer care officer, non voice, travel","Delhi NCR,Faridabad,Gurgaon","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
12385, Equity Advisor," cross sales, lead generation, brokerage, equity, financial products, Trading, Dealing, NISM","Bengaluru,Kolkata,Delhi","Financial Services,Stock Broking,Financial Services , Banking , Investments , Insurance,Banking, Financial Services, Broking",1 - 5,1 - 5
12397, Female Looking For Day Shift with Weekend Off Call Sushma," Recruitment Executive, Volume Hiring, Hiring, Team Leading, Bulk Hiring, HR Recruiter, Recruitment",Bengaluru,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
12401, Hiring For Freelance Recruiter," Recruitment, Hiring, bulk hiring, mass hiring, mass recruitment, Freelance Recruitment, Freelancing, Staffing, Sourcing",Delhi NCR,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
12403, Tally ERP &amp; GST Accountant-changodar-good Salary," Tally ERP, MCOM, Bcom, Gst",Ahmedabad,"Accounts,Accounts , Finance , Tax , Company Secretary , Audit,Other",1 - 5,1 - 5
12404, Looking For BDM For Printing Company at Bangalore," document management system, written communication, client servicing, bdm, Business Development",Bengaluru,"Retail Sales,Sales , Retail , Business Development,Printing, Packaging",1 - 5,1 - 5
12406, International Marketing Engineer," Business Development, International Marketing, Market Intelligence, Relationship Management, Strategy Formulation",Mumbai,"Retail Sales,Sales , Retail , Business Development,Construction, Engineering, Cement, Metals",1 - 5,1 - 5
12414, Medical Representative," CME, General Trade, MR, Hospital Sales, medical sales","Bengaluru,Hyderabad","Medical Professional,Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology,Medical, Healthcare, Hospitals",1 - 5,1 - 5
12420, Tech Mahindra- Hiring For Customer Support," fresher, calling, customer service, customer support, communication skills",Hyderabad,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
12423," HR Executives (Non MBA, Freshers)"," hr, Fresher",Mumbai,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Banking, Financial Services, Broking",1 - 5,1 - 5
12426, Urgent Collection Executive," Sales, FMCG",Kolkata,"Retail Sales,Sales , Retail , Business Development,FMCG, Foods, Beverage",1 - 5,1 - 5
12429, HR - Recuriter @ Chennai:: Day Shift : 0-1 yrs ( Freshers)," interviewing, screening, hiring, recruitment, hr, sourcing",Chennai,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
12430," Computer Operator Data Entry Operator, Typists Earn 2k-3k Daily No Fee"," bpo, back office, inbound, night shift, calling, data entry, mnc, data entry operator, Computer Operator, Office Assistance, Admin Executive","Chennai,Hyderabad,Pune","HR, Recruitment , IR,HR , Recruitment , Administration , IR,BPO, Call Centre, ITeS",1 - 5,1 - 5
12440," Looking Business Analyst,Sr. Business Analyst for IT Co.-Ahmadabad"," business analysis, Presales","Ahmedabad,Gandhinagar","Analytics & BI,Analytics & Business Intelligence,IT-Software, Software Services",1 - 5,1 - 5
12445, Freshers Needed For International Voice Process Night Shift," bpo fresher, international call center, Fresher, Voice Process, undergraduate, International BPO","Delhi NCR,Gurgaon","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
12459," Hiring for International Process ,, Technical Support"," Technical Support, Technical Voice Process, Voice Process, International BPO",Gurgaon,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
12460, Technical Recruiter with Strong VMS Experience," US IT Recruiter, technical recruitment, C2C, Dice, Technical Recruiter, W2, vms, Night Shifts, Recruiter, Talent Acquisition",Hyderabad,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
12461," Sales Associate ,, Hyderabad"," sale executive, field sales, retail sales, fmcg sales, insurance sales, direct sales, direct selling, corporate sales, institutional sales, retail, Banking Sales, financial sales, Sales, business development, bde, marketing executive, marketing officer",Hyderabad,"Channel Sales,Sales , Retail , Business Development,Automobile, Auto Anciliary, Auto Components",1 - 5,1 - 5
12468," Hiring HR Recruiter , Executive (female) in Sector - 58 ,, Noida"," hr recruiter, recruitment, recruitment executive, strong communication skills, recruiter",Noida,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
12497," Operations Manager ,, Event Industry"," Event Management, Events, Event Planning, Corporate Events, Event Operations, Media, Advertising, Entertainment, Powerpoint",Delhi,"Administration,Facility Management,HR , Recruitment , Administration , IR,Advertising, PR, MR, Event Management",1 - 5,1 - 5
12499, Urgent Requirements For Mechanical -quality ENGG," Diploma, NDT Level, Fabrication, Quality Engineering, quality assurance engineering, qc engineering, Quality Engineer","Mumbai,MumbaiSuburbs,NaviMumbai","Production,Manufacturing,Maintenance,Production , Manufacturing , Maintenance,Construction, Engineering, Cement, Metals",1 - 5,1 - 5
12502," Day Shift,5.5 days Working- HR Recruiter"," IT Recruiter, talent acquisition, Non IT Recruiter, screening, recruitment, recruitment executive, hr mba, hr, mba, human resource, sourcing",Delhi,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
12506, Technical Recruiter," selection, interviewing, recruitment, benefits, sourcing, hr, salary, technical skills, communication skills, Technical Recruitment, it recruitment, it hiring, it staffing",Noida,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,IT-Software, Software Services",1 - 5,1 - 5
12538, Urgent Opening for Radiologist @mumbai Location," Radiologist, Radiology, MD, DNB",Mumbai,"Medical Professional,Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology,Medical, Healthcare, Hospitals",1 - 5,1 - 5
12552, Graphical Designer, graphic designing,Bengaluru,"Creative,Design , Creative , User Experience,Real Estate, Property",1 - 5,1 - 5
12561, CA Intern," Loss, Profit, Budgeting, Balance Sheet, Ca, Auditing",Ahmedabad,"Operations,Processes,Finance,Legal,Financial Services , Banking , Investments , Insurance,Other",1 - 5,1 - 5
12563," Character Design , Illustration Artist (13 July)"," sketching, character design, illustration, photoshop, Cartooning, illustrator, flash, Digital Painting",Bengaluru,"Creative,Design , Creative , User Experience,Other",1 - 5,1 - 5
12564, Sales Executive," Field Sales, Sales Executive Activities, Selling, Real Estate, Marketing, Cold Calling, Follow Ups",Delhi NCR,"Retail Sales,Sales , Retail , Business Development,Real Estate, Property",1 - 5,1 - 5
12569, Technical Recruiter- Immediate Joining," interviewing, screening, technical recruitment, hiring, searching, hr, social media, sourcing, communication skills",Bengaluru,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,IT-Software, Software Services",1 - 5,1 - 5
12573, Associate data Warehouse Developer," T - SQL, ETL, Data Warehousing, SSIS, Stored Procedures",Ahmedabad,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
12583, Business Analyst," Technical Documentation, requirement gathering, database, Business Analyst, SRS, Visio, business consultant, Technical Specifications, IT - Software, Business Analysis",Pune,"System Design,Implementation,ERP,CRM,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
12584," Walk in for Back Office Process , Data Entry Operators"," typing speed, back office, data entry, backend, back office executive, back office operations, backend operations, Non Voice",Hyderabad,"Back Office,Web,Transaction Processing,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
12585, Urgent Recruitment in Medical Coding For Biotech& Biomedical Graduates," bhms, biotechnology, microbiology, nursing, bams, biomedical, medical coding, fresher, medical coder, biochemistry, pharmacy, bsms","Chennai,Trichy,Vellore","Medical Professional,Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology,Medical, Healthcare, Hospitals",1 - 5,1 - 5
12592, Hybrid Mobile Application Developer," Native, Application Development, CSS, Xamarin, Phonegap, Html5, Javascript, HTML, JQuery, Cordova",Kolkata,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
12594, Executive HR Administrator," Attendance, Training, Salary, Administrative Support, Internal Audit, Compliance, HR Administration, Risk Management, Background Verification, Auditing",Bengaluru,"Administration,Facility Management,HR , Recruitment , Administration , IR,Banking, Financial Services, Broking",1 - 5,1 - 5
12612, Content Writer - Digital," editorial, brand campaigns, website content writer, digital content, creative writer, blogs, web content writing, digital communication, content strategy, content writer, proof reading",Mumbai,"Content Development,Journalism , Editing , Content,Media, Entertainment, Internet",1 - 5,1 - 5
12619, Hardware Engineer (component Engineer)," Hardware Engineering, Component Selection, Hardware Development, Components, EMI, MC, 16 Bit, 32 Bit Microcontrollers",Pune,"IT Hardware,IT Hardware , Technical Support , Telecom Engineering,Semiconductors, Electronics",1 - 5,1 - 5
12627, IT Recruiter - Bangalore - Experience - 0.1 - 2.6 Yrs," shortlisting, head hunting, talent acquisition, it recruitment, screening, positioning, performance management, sourcing, market mapping",Bengaluru,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
12637, Customer care Executive( Vodafone International Process)," idea, customer service, teleperformance, hcl, airtel, Customer Care, exl, International Process, wns, vodafone",Delhi NCR,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
12644, Ouk Process uk Shift n uk Based top bpo Hiring is on 50k + huge Parks," bpo, night shift, call centre, international bpo, cce, inbound, tse, customer care, ites, cco, dell, tso, technical support, fresher, voice process, chat, undergraduate, email","Delhi NCR,Gurgaon,Noida","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
12655, Hiring For IT Recruiter ," Communication Skills, IT Recruitment, Hiring, HR Recruiter",Hyderabad,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,IT-Software, Software Services",1 - 5,1 - 5
12703," Bpo,call Center, data Entry job in Delhi Urgent need 12th pass call"," International BPO, Call Center, Non Voice Process, Customer Care, Calling, Domestic, inbound, voice process, international call center, BPO, KPO, LPO, Domestic BPO","Delhi NCR,Faridabad,Noida,...More","Other,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
12711, Software Engineer - 3 To 5 Years - Product Company," Java, CSS, DOM, Html5, XML, JSP, Javascript, JSON, JQuery, Ajax",Chennai,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
12712, US IT Recruiter," us it recruitment, us recruiter, us staffing, bench sales",Chennai,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
12722," Business Development Associate, Pune"," FMCG Marketing, Hotel Management, New Business Development, New Business, B2B Sales, Sales, Events, b2b marketing, Business Generation, Cold Calling, FMCG Sales, Business Development",Pune,"Retail Sales,Sales , Retail , Business Development,FMCG, Foods, Beverage",1 - 5,1 - 5
12731, Opportunity to work with Private Banks," sales, business development, field work, fresher, marketing, lead generation, inside sales, cold calling, branch sales, loan sales, relationship officer, marketing officer, bba, bca, ba, mba, ma, bsc, Bcom, bbm",Ahmedabad,"Retail Sales,Sales , Retail , Business Development,Banking, Financial Services, Broking",1 - 5,1 - 5
12740," Required Freelancer Recruiter ,BPO Hiring(work frm Home)"," bpo recruitment, bpo hiring, non it recruitment","Delhi NCR,Gurgaon,Noida","HR, Recruitment , IR,HR , Recruitment , Administration , IR,BPO, Call Centre, ITeS",1 - 5,1 - 5
12749,Back Office Coordinator With Tally Expertise,"accounts executive,executive assistant and front office and data entry,back - office processing,accounts assistant,accountant,finance executive,tally erp,Purchase Management,accounts tally,tally,distribution management",Delhi,"Accounts,Accounts , Finance , Tax , Company Secretary , Audit,Chemicals , PetroChemical , Plastic , Rubber",1 - 5,1 - 5
12794, Opening For Senior Medical Coder @ Chennai - Upto 5L CTC," evaluation, medical coding, medical coder, EM",Chennai,"Other,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
12819, Territory Sales Manager - Point of Sales (pos) Machines," Territory Sales Management, FMCG, sales, marketing, business development, territory sales manager","Mumbai,Vadodara,Pune,Bengaluru","Retail Sales,Sales , Retail , Business Development,FMCG, Foods, Beverage",1 - 5,1 - 5
12827," Front Office Executive , Location - Shirwal (pune)"," Administration, Front Office, Reception, facilities, Guest Relations, EPABX",Pune,"Administration,Facility Management,HR , Recruitment , Administration , IR,Industrial Products, Heavy Machinery",1 - 5,1 - 5
12845, Urgent Requirement - Inside Sales," inside sales, bd, Lead Generation, Business Development, communication skills, International BPO",Mumbai,"Corporate Sales,Sales , Retail , Business Development,Education, Teaching, Training",1 - 5,1 - 5
12848,Process Trainer,"process training,customer service,Process Trainer",Mumbai,"Training,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO , Call Centre , ITES",1 - 5,1 - 5
12858, Hiring For Customer Care Executive- Voice Process," Customer Support, CCE, CUSTOMER SERVICE, voice support, Captive Unit, CUSTOMER CARE EXECUTIVE, Customer Support Executive, customer service representative, Voice Process, International Voice Process","Delhi NCR,Gurgaon","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
12881," Urgent Hiring Technical Sales Executives , Gurgaon"," technical sales, international voice process, customer support, call centre, ppc, us shift, Tech Sales, International BPO","Delhi NCR,Gurgaon","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
12894, Testing Engineer, test engineering,Noida,"Production,Manufacturing,Maintenance,Production , Manufacturing , Maintenance,Consumer Electronics, Appliances, Durables",1 - 5,1 - 5
12911, Business Development Executive," digital marketing, client coordination, business development, social media",Pune,"Marketing,Marketing , Advertising , MR , PR , Media Planning,Real Estate, Property",1 - 5,1 - 5
12923," Earn Rs.150,- Per Page, Work from home , part Time Job , Ofline jobs"," freelance, part time, freshers, business development executive, Business Development, marketing, sales & marketing",Hyderabad,"Other,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
12929," Relationship Executive,manager"," marketing, channel partners, business development, Retail Operations, Operations, sales",Bengaluru,"Other,Sales , Retail , Business Development,Education, Teaching, Training",1 - 5,1 - 5
12930, Hiring For Crane Maintenance-bangalore," Electrical Maintenance, ITI Electrical, Electrical Execution, Field Work, Control Panel, Electricals",Bengaluru,"Production,Manufacturing,Maintenance,Production , Manufacturing , Maintenance,Industrial Products, Heavy Machinery",1 - 5,1 - 5
12934,"Housekeeping Executive, PVR Cinemas, G.noida","Cleaning,Housekeeping,Team Handling",GreaterNoida,"Housekeeping,Hotels , Restaurants,Media , Entertainment , Internet",1 - 5,1 - 5
12938, Assistant Manager-branding & Business Development, Business Development,Gurgaon,"Marketing,Marketing , Advertising , MR , PR , Media Planning,Banking, Financial Services, Broking",1 - 5,1 - 5
12943, Fresher Software Developer, Software Developer,"Delhi NCR,Chennai","Programming & Design,IT Software - Client,Server Programming,IT-Software, Software Services",1 - 5,1 - 5
12957, Walk In For Field Sales Executive For Non Banking," Field Sales, Sales Executive Activities",Chennai,"Retail Sales,Sales , Retail , Business Development,Other",1 - 5,1 - 5
12959, Pcs-accenture," Excel, Documentation",Bengaluru,"Other,ITES , BPO , KPO , LPO , Customer Service , Operations,IT-Software, Software Services",1 - 5,1 - 5
12968, Team Leader Operations - Outbound Voice Process," Service Level, Effective Communication, General Insurance, Training Needs, Outbound Sales, Subject Matter Expertise, Insurance, Team Leading, Senior Management, Operations Management",Bengaluru,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
12971," Looking for Php,core PHP Developer"," Javascript, CSS, JQuery, Core PHP, MySQL, XHTML, Apache, Unit Testing","Chennai,Hyderabad,Pune","Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
12978," R1rcm - Accretive - Analyst - Blended - Fresher , Exp - Gurgaon"," BPO, KPO, school, Communication Skills, backend, blended, fresher, hcl, aegis, claims, insurance, us healthcare, wipro",Gurgaon,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
12979, Marketing Executive," Promotions, Field Marketing, Catalog Management, Data Entry, Promotional Events, Marketing, B2B Marketing","Bengaluru,Hyderabad","Marketing,Marketing , Advertising , MR , PR , Media Planning,Advertising, PR, MR, Event Management",1 - 5,1 - 5
12980, Hiring_fresher_operations Executive_ Research Industry_ahmedabad_20k, Market Research,Ahmedabad,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,KPO, Research, Analytics",1 - 5,1 - 5
12996," Office Coordinator, Office Assistant"," Office Coordination, office administration, office assistant, Office Assistance",Delhi NCR,"Other,HR , Recruitment , Administration , IR,Gems, Jewellery",1 - 5,1 - 5
13016, Service Engineer( Cosmetology Medical)," Service Engineering, Maintenance, Biomedical",Bengaluru,"Health & Fitness,Beauty , Fitness , Spa Services,Medical Devices , Equipments",1 - 5,1 - 5
13027, SR. Executive PPT Expert (back END) (female)," MS Office, ms excel, Powerpoint, powerpoint presentation",Faridabad,"Other,Production , Manufacturing , Maintenance,Construction, Engineering, Cement, Metals",1 - 5,1 - 5
13049, Customer Service Executive - Bangalore," Customer Support, Customer Complaints, Telecalling, Customer Service, customer care executive, customer care officer, customer support officer, cso, cse, customer care",Bengaluru,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,Automobile, Auto Anciliary, Auto Components",1 - 5,1 - 5
13055, HR Executive Generalist," resourcing, hiring, recruitment, HR, Organizing, human resource, Communication","Bengaluru,Chennai,Kochi","HR, Recruitment , IR,HR , Recruitment , Administration , IR,IT-Software, Software Services",1 - 5,1 - 5
13062," Sales Officer - Leading Bank ( Bank On Rolls ) - Hyderabad , Bangalore"," Salary, Casa, Selling, Cross Selling, Field Sales, Branch Banking","Bengaluru,Hyderabad","Retail Sales,Sales , Retail , Business Development,Banking, Financial Services, Broking",1 - 5,1 - 5
13067, React JS Developer," UX, UI, Javascript, REACT JS",Mumbai,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
13081, We are Hiring for the Back Office Executive.," typewriting speed, Communication Skills, Excel, Spoken English",Mumbai,"Back Office,Web,Transaction Processing,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
13093," Urgent Hiring, Sales Trainer , PAN India"," Telecom, Postpaid, Enterprise Sales, Sales Training","Delhi NCR,Mumbai,Bengaluru,Chandigarh,Kolkata,Hyderabad,Chennai","Teachers,Teaching , Education , Training , Counselling,Telcom, ISP",1 - 5,1 - 5
13102, Home Loan Executive, Home Loans,Bengaluru,"Retail,Personal Banking,Financial Services , Banking , Investments , Insurance,Real Estate, Property",1 - 5,1 - 5
13103," Work Part Time for Data Entry , Computer Operator , Online Work"," bpo non voice, freelancing, online data entry, data entry, freelancer, back office, e - marketing, computer operator","Kolkata,Visakhapatnam,Gurgaon","HR, Recruitment , IR,HR , Recruitment , Administration , IR,BPO, Call Centre, ITeS",1 - 5,1 - 5
13105, Immediate Opening for Direct Sales Operation," Sales Operations, Lead Management, Direct Sales, sales executive, sales representative",Bengaluru,"Operations,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
13112," Technical Support ,, Technical Support Executive (international Voice"," technical support, technical support representative, technical support engineer, technical support executive, international voice, teleperformance, technical voice process","Gurgaon,Delhi NCR,Delhi","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,IT-Software, Software Services",1 - 5,1 - 5
13138, ACS Hiring Domestic Recruiter for India Staffing Noida 126," IT Recruitment, Talent Acquisition, It Hiring, Technical Recruitment, Volume Hiring, Permanent Staffing, Contract Staffing, Screening, Sourcing, Salary Negotiation",Noida,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
13145, Hiring For a SME - Domestic BPO - Salary Upto 5LPA," bpo, Team Coach, outbound, SME, ITES, call center, Inbound, subject matter expert",Bengaluru,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
