,Job_Title,Key_Skills,Location1,Functional_Area_merged,Job_Experience,Job_Salary
28471, Hiring For Server Support with a Leading Brand Name.," tech support, technical support representative, international bpo, technical, tse, technical support executive, tso, technical support, voice process, international call center, technical support associate, technical support officer, technical voice process",Gurgaon,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
28481," Assistant , Jr Executive - Invoicing , F&A ( Manufacturing MNC) 4L Max"," bba, INVOICING, bcom, SAP, mcom, accounting, reconciliation, vendor payments, PAYMENT FOLLOWUP","Chennai,Oragadam,Sriperumbudur","Accounts,Accounts , Finance , Tax , Company Secretary , Audit,Industrial Products, Heavy Machinery",1 - 5,1 - 5
28490, HR Executive - Recruitment - Female," Recruitment, HR, hr recruiter, recruitment executive, business development, Fresher, bpo fresher",Ahmedabad,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
28493, Opening for Software Engineer with Hectranet in Pune," Javascript, MySQL, PHP, Software Engineering, Marketing Campaigns, Email Marketing, Customer Retention, IP Configuration, Spoken English, Report Generation",Pune,"Other,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
28497, Fresher," communication skills, BPO, Call Center, voice process, International Call Center, Mba Fresher, Fresher, bpo fresher, Calling, Inside Sales, lead generation, Sales",Mumbai,"Retail Sales,Sales , Retail , Business Development,IT-Software, Software Services",1 - 5,1 - 5
28507," Urgent Requirement of Floor Coordinator @ Platinum Hospitals, Mulund"," Liaison, Coordination",Mumbai,"Medical Professional,Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology,Medical, Healthcare, Hospitals",1 - 5,1 - 5
28515, French Language Expert - Fresher and Experienced," B2, B1, French","Delhi NCR,Delhi","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
28519, Opening for 3D Artist," 3ds max, 3DSmax, Autodesk 3Ds Max, 3D Studio Max, 3D Artist, VRAY, Texturing, 3D Modeling",Ahmedabad,"Creative,Design , Creative , User Experience,Architecture, Interior Design",1 - 5,1 - 5
28520, Customer Support Executive," Customer Support, Excel, Inbound Calls, MS Office, voice, bpo, inbound, outbound, calls, customer care","Ahmedabad,Vadodara","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,Internet, Ecommerce",1 - 5,1 - 5
28523, Opportunity To Work with Private Banks," branch sales, bba, Bcom, bca, cold calling, business development, bbm, mba, sales, marketing officer, marketing, inside sales, fresher, relationship officer, bsc, ma, lead generation, loan sales, field work, ba",Ahmedabad,"Retail Sales,Sales , Retail , Business Development,Banking, Financial Services, Broking",1 - 5,1 - 5
28525," Urgent Opening : QUALITY ANALYST , CHANDIGARH"," Root Cause Analysis, Call Monitoring, Feedback, Quality Analysis, Quality Tools, International Process, CSAT",Chandigarh,"Quality,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
28527, Urgent Opening for Customer Support Associate.," Customer Service, Customer Support",Kolkata,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
28529,Opening with a top Ed tech as Business Development Associate,"international sales,inside sales,b2c,Cold Calling,business development,concept selling,education and counselling,sales",Bengaluru,"Corporate Sales,Sales , Retail , Business Development,Education , Teaching , Training",1 - 5,1 - 5
28530," Blended Process!! 5days, Sat-sun off, Gurgaon"," bpo, blended, international bpo, cce, customer service, call center, blended process, customer support, fresher, voice process, uk process, customer care service, backend, communication skills, customer","Delhi NCR,Faridabad,Gurgaon","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
28532," Sales Executive, Business Development Executive"," MBA fresher, sales executive activities, consumables, mba marketing, labels","Bengaluru,Hyderabad,Delhi NCR","Retail Sales,Sales , Retail , Business Development,Other",1 - 5,1 - 5
28543," Recruiter,sr Recruiter - Careerfeat Consultancy - Diamond Point", IT Recruitment,Hyderabad,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,IT-Software, Software Services",1 - 5,1 - 5
28545, Urgent openings For Accountant @Ashok Nagar," accounting, tally",Chennai,"Accounts,Accounts , Finance , Tax , Company Secretary , Audit,Accounting, Finance",1 - 5,1 - 5
28559, Recruitment Executive Required North East Immediate Joiner," Recruitment, Recruitment Executive, HR Recruiter","Delhi,Kolkata,Mumbai","HR, Recruitment , IR,HR , Recruitment , Administration , IR,Facility Management",1 - 5,1 - 5
28560, Hiring For Superdaily For Non Voice Process Sal upto 5lkh," Communication Skills, CSR, customer support executive, customer support officer, technical support officer, International Voice Process, customer support",Bengaluru,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
28570, Wanted Marketing Executive and one peon," business development, Marketing",Mumbai,"Retail Sales,Sales , Retail , Business Development,Electricals, Switchgears",1 - 5,1 - 5
28574," Immediate Opening 4 For Day Shift,technical Support, Sal up To 3.6L"," bpo, Technical Assistant, customer service, Semi Voice, international voice, it, kpo, Voice Process, IOS, helpdesk, customer support, Apple, Technical Support, hindi, desktop support, laptop support",Bengaluru,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
28596, IT Company Hiring Graphic Designer - Mumbai Bandra," photoshop, illustrator, corel draw, graphic designing, sketching, design, web technologies, web designing, sketch","Mumbai,MumbaiSuburbs,NaviMumbai","Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
28601, Tele Caller ( Female )," Telecalling, Back Office",Delhi,"Teachers,Teaching , Education , Training , Counselling,Education, Teaching, Training",1 - 5,1 - 5
28608," Online Chat Sales - Night Shift - Bpo,kpo - Fluent In English"," bpo, kpo, back office, non voice, customer service, customer care, voice, international bpo, voice process, voice support, technical support, cbse, icse, isc, st., us, uk, international call center, customer support representative, cse, csr",Ahmedabad,"Back Office,Web,Transaction Processing,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
28613, Pre Primary Teacher - Undri," Pre Primary Teacher, Education",Pune,"Teachers,Teaching , Education , Training , Counselling,Education, Teaching, Training",1 - 5,1 - 5
28615, Foreign Trade Coordinator," international marketing, international business development, Middle East, Us, B2B Marketing, Uk",Faridabad,"Marketing,Marketing , Advertising , MR , PR , Media Planning,Printing, Packaging",1 - 5,1 - 5
28620, Corporate Sales (AM) Openings in Leading Bank," Corporate Sales, B2B, Casa, Banking, SME Sales",Hyderabad,"Retail Sales,Sales , Retail , Business Development,Banking, Financial Services, Broking",1 - 5,1 - 5
28622, Voice & Non Voice Process in top BPOs," kpo, customer support, international bpo, customer service, interpersonal skills, night shift, bpo, customer service representative, cce, ites, web chat, non voice process, e mail, e - commerce, bpo fresher, customer care, Voice support","Ahmedabad,Gandhinagar,Vadodara","Back Office,Web,Transaction Processing,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
28626," Accounts and Finance , AR Caller , US Medical Billing , Sat,sun off"," customer service associate, customer service executive, Customer Support Executive, customer service representative, US Healthcare, AR Caller",Bengaluru,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
28631," IT firm Seeking Accounts,admin Executives"," Administration, accounts executive, accountant, Accounting, service tax, vat, Admin Executive, tally",MumbaiSuburbs,"Accounts,Accounts , Finance , Tax , Company Secretary , Audit,IT-Software, Software Services",1 - 5,1 - 5
28647," HR Recruiters in Marol , 10 - 15k Salary , High Incentives - Freshers"," hr recruiter, back office, customer service, hr, Dayshift, office administration, Talent Acquisition, Human Resource, fresher, online sales, recruitment, outbound, Telecalling, social media marketing, non it recruitment","Mumbai,MumbaiSuburbs","HR, Recruitment , IR,HR , Recruitment , Administration , IR,Other",1 - 5,1 - 5
28663," Part time ,,home Based work ,, Freelancer for Freshers and Students"," freelance, part time, freshers, business development executive, Business Development, marketing, sales & marketing",Chandigarh,"Other,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
28665," Social Media Graphic Designer , Senior Creative Designer"," Creative Designing, Illustrator, Infographics, Dreamweaver, User Interface Designing, Photoshop, Graphic Designing, Fine Arts, Indesign, Sketching",Noida,"Creative,Design , Creative , User Experience,IT-Software, Software Services",1 - 5,1 - 5
28677, Hiring For German Language Expert," german language, German",Gurgaon,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
28681," Edwisor Is Hiring For Multiple BPO Profiles, Day Shift, Sal Up To 30k"," business development, telesales, Tele Sales Executive, B2B, b2c, lead generation, Sales, Upselling",Gurgaon,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
28687, Marketing Executive," communication skills, marketing, BTL Activities, marketing executive, lead generation",Delhi,"Marketing,Marketing , Advertising , MR , PR , Media Planning,Gems, Jewellery",1 - 5,1 - 5
28691, Territory Manager," Sales, Relationship Building, Business Development, Territory Management","Chennai,Delhi NCR","Channel Sales,Sales , Retail , Business Development,Pharma, Biotech, Clinical Research",1 - 5,1 - 5
28692, Mechanical Freshers Required," production, quality","Delhi NCR,Gurgaon,Manesar,Delhi,Noida,Faridabad","Other,Production , Manufacturing , Maintenance,Automobile, Auto Anciliary, Auto Components",1 - 5,1 - 5
28693, Urgent Jobs For Network L1 Engineer @ Chennai ( 0 To 1)yrs - Fresher," configuring, os installation, l1, network support, installation, desktop support, troubleshooting, networking, lan setup, ms outlook, windows",Chennai,"IT Hardware,IT Hardware , Technical Support , Telecom Engineering,IT-Hardware & Networking",1 - 5,1 - 5
28696," Social Media Analyst,"," Excel, Social Media, Data Analysis",Mumbai,"Analytics & BI,Analytics & Business Intelligence,KPO, Research, Analytics",1 - 5,1 - 5
28711, Urgent Opening for Data Analyst (pms) at Greenpoint Global at Belpur," Data Analysis, Data Collection, Project Management",NaviMumbai,"Engineering,Shipping,Shipping, Marine",1 - 5,1 - 5
28715, Hdfc Bank (bangalore)," business loan, auto loans, personal loans, auto loan, banking products, financial services, home loan, team leading, housing loan, commercial vehicle, lap, housing finance, commercial vehicle loan",Bengaluru,"Retail Sales,Sales , Retail , Business Development,Banking, Financial Services, Broking",1 - 5,1 - 5
28723, Customer Support Executive ( Exp. in International BPO)," bpo, international calling, international bpo, email process, outbound process, call center, KPO, Inbound, web process, customer support, Chat Process, voice process, international call center, customer care executive",Ahmedabad,"Back Office,Web,Transaction Processing,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
28724, Looking for Retail Sales Executive for Apple," Retail Sales, Sales Executive Activities, Retail Store Operations, Sales Executive, Retail Sales Executive","Bengaluru,Hyderabad,Kochi,Gwalior","Retail Sales,Sales , Retail , Business Development,Retail, Wholesale",1 - 5,1 - 5
28737, Hiring For Collections," upselling, debt collection, credit collection, inbound, collection executive, collections, outbound, collections process","Delhi,Gurgaon","Operations,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
28751," Online Chat Representative, Tech Mahindra Hiring for Flipkart"," Customer Care, Voice, Chat, backend, non voice, Customer Service, customer service executive","Delhi NCR,Gurgaon,Noida","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
28759," Senior Business Development Executive, IT Sales, BDM, BDE, BD, IT BDM"," website marketing, bde, bdm, business development, linkedin, website sales, it marketing, international business development, software sales, it sales","Delhi NCR,Noida","Retail Sales,Sales , Retail , Business Development,IT-Software, Software Services",1 - 5,1 - 5
28767, Biomedical Engineer, Biomedical Engineer,Pune,"Medical Professional,Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology,Medical, Healthcare, Hospitals",1 - 5,1 - 5
28784," Staff Nurse- Obstetrics, Wards , ICU"," Nursing, gnm, ICU, bsc nursing",Pune,"Medical Professional,Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology,Medical, Healthcare, Hospitals",1 - 5,1 - 5
28785," Hiring for IT Recruiter, Sr.it Recruiter"," recruitment, talent acquisition, IT Recruitment, it recruiter, technical hiring",Delhi,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
28807, Urgently Required Candidates for Back Office Fresher," Data Entry Operation, Non Voice, data entry, non voice process, voice process, Domestic, international bpo, backend, back office, computer operator, data entry operator, typing, fresher, call center, inbound, voice","Delhi NCR,Faridabad,Gurgaon","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
28841," International BPO , Technical Process , Rotational Shift , Ahmedabad"," bca, voice process, international bpo, Networking, configuration, voice support, broadband, customer service, outbound process, technical support executive, b.tech, customer support",Ahmedabad,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
28842, ITI any Trade," electrician, electrical technician, fitter, iti",Bengaluru,"Other,Production , Manufacturing , Maintenance,Industrial Products, Heavy Machinery",1 - 5,1 - 5
28861, Jr Data Analyst, Data Analysis,Kolkata,"Analytics & BI,Analytics & Business Intelligence,IT-Software, Software Services",1 - 5,1 - 5
28862," Urgent Opening for Senior Process Trainer,product Trainer_ Noida"," process training, feedback, effective communication, process trainer, product & training, Training",Noida,"Training,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
28870, Reservation Executive," hotel, hotel booking, reservation, Reservation Executive, reservation agent",Gurgaon,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,Travel , Hotels , Restaurants , Airlines , Railways",1 - 5,1 - 5
28898, Electrical Maintenance Engineer," Electrical Maintenance, Maintenance Engineering, HT Panels, LT, Transformers, Motors, Circuit Breakers, Generators, Electricals","Delhi NCR,Delhi,Sonepat","Production,Manufacturing,Maintenance,Production , Manufacturing , Maintenance,Automobile, Auto Anciliary, Auto Components",1 - 5,1 - 5
28902, Senior .Net Developer," C#, VB.NET, ADO.Net, Web Technologies, C#.Net, ASP.Net, .Net, JSON, ADO, ASP","Mumbai,MumbaiSuburbs,NaviMumbai","Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
28905, Urgently Hiring for IT Recruiters- Hyderabad (kavuri Hills)," it recruitment, technical recruitment, technical hiring, hr recruitment, recruiter, technical recruiter, it recruiter",Hyderabad,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
28914, Urgent Requirement for Data Analysts in a Leading MNC in Mumbai," Advanced Excel, Macros, VBA, MIS Reporting, Data Analysis, Night Shift, Dashboards",Mumbai,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
28922, Urgent Vacancy for Business Developement Executive for IT Industry," Digital Marketing, Sales Planning, SEO, Revenue Generation, Business Development, Social Media, PPC, Facebook, New Business, Direct Sales",Kolkata,"Corporate Sales,Sales , Retail , Business Development,IT-Software, Software Services",1 - 5,1 - 5
28924, Samsung Feedback Process!! Udyog Vihar Phs 4 Salary Upto 23k," bpo, blended process, voice process, inbound, chat process, email process, non voice, interpersonal skills, call center, fresher, customer care, telecalling, tele caller, sales process, outbound, outbound sales","Delhi NCR,Gurgaon","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
28941, Online Sales Order Processing," amazon, Order Processing",Ahmedabad,"Retail Sales,Sales , Retail , Business Development,FMCG, Foods, Beverage",1 - 5,1 - 5
28949, Cal Azra Huge Openi for International Technical Voice proc sal 5lks," international sales, expedia, bpo, international bpo, firstsource, international voice, bcp, outbound sales, airlines, under graduate",Bengaluru,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
28951," Work Flexibly IN YOUR HAND You Can TYPE ANY TIME Offline,online Data E"," back office, data entry, digital marketing, fresher, bpo, sales marketing, sales & marketing, Freelancing, freelancer, under graduate","Noida,Ooty,Orai","HR, Recruitment , IR,HR , Recruitment , Administration , IR,BPO, Call Centre, ITeS",1 - 5,1 - 5
